# serie: dificultad — Medición 1 · cuánto pesaba la bomba contra la dificultad real
# origen: https://ethereum-rpc.publicnode.com · eth_getBlockByNumber
# bajado: 2026-08-20 00:20 UTC
# rango: bloques 4000000..15537394 cada 10000
# el paso es parte del dato: la serie está muestreada, no es continua
bloque,marca,dificultad
7880000,1559477256,2121094600664728
7890000,1559613008,2076495790082522
7900000,1559748180,2020983009901219
7910000,1559882780,2129933453262433
7920000,1560018665,2079738985979153
7930000,1560153643,2021109383696260
7940000,1560289199,2019464459412990
7950000,1560423930,2038509313588609
7960000,1560558991,2012295298706653
7970000,1560694377,2021613751418976
7980000,1560829590,2050937079142649
7990000,1560964413,2057447827994669
8000000,1561100149,2037888242889388
8010000,1561234762,2040715230817009
8020000,1561369418,2099059137651409
8030000,1561504004,2113964883821101
8040000,1561638755,2183539917660385
8050000,1561774045,2191915079494223
8060000,1561907952,2239334978263998
8070000,1562042620,2189146815602267
8080000,1562178137,2115162001865161
8090000,1562312263,2160792443231004
8100000,1562446275,2228879268981393
8110000,1562580710,2131186306884766
8120000,1562714668,2195906670493010
8130000,1562848961,2241454714439676
8140000,1562984792,2248999457826501
8150000,1563118325,2255795341084000
8160000,1563253666,2214194074421100
8170000,1563390506,2216403509908772
8180000,1563524083,2239426324501289
8190000,1563657984,2254801371742529
8200000,1563792449,2135886525680612
8210000,1563925785,2214749444256381
8220000,1564060720,2201767585018136
8230000,1564194770,2266217643599410
8240000,1564329190,2195338431904653
8250000,1564463477,2245204323003683
8260000,1564597821,2156879967349760
8270000,1564732022,2189896366530654
8280000,1564865751,2250466218576872
8290000,1564999286,2305716580575273
8300000,1565133760,2260692613803048
8310000,1565267861,2306523903494656
8320000,1565401917,2294347285082581
8330000,1565536629,2240053901506031
8340000,1565669720,2365018646199655
8350000,1565803734,2316302762763514
8360000,1565938594,2249498317307857
8370000,1566071734,2377170632934975
8380000,1566206924,2256490185968589
8390000,1566340899,2265914196729574
8400000,1566474986,2240626641793461
8410000,1566609532,2263908115661709
8420000,1566744845,2171895923194130
8430000,1566879172,2180972081373575
8440000,1567013670,2186069182179596
8450000,1567147214,2245328221621639
8460000,1567281961,2248439964555493
8470000,1567416716,2256534934592994
8480000,1567551463,2262132038801610
8490000,1567685589,2246118967765084
8500000,1567820847,2213536679109264
8510000,1567955110,2372789277888743
8520000,1568089878,2291679352714508
8530000,1568225074,2265860067694948
8540000,1568360055,2318243563665688
8550000,1568495114,2343419068211186
8560000,1568630407,2317030362444976
8570000,1568764187,2423730128209257
8580000,1568898597,2435652297523649
8590000,1569034094,2455433955969522
8600000,1569168482,2468579894667375
8610000,1569303544,2538976089869282
8620000,1569439704,2523604496306164
8630000,1569575662,2422020014450369
8640000,1569709939,2512398184482343
8650000,1569845721,2404479290262218
8660000,1569979950,2487585534206292
8670000,1570116154,2328062967250841
8680000,1570250318,2404630472707444
8690000,1570385259,2319854235169834
8700000,1570519385,2421585931393112
8710000,1570655449,2432723625336691
8720000,1570791833,2438333096584426
8730000,1570927311,2447626035992826
8740000,1571063416,2390167136614244
8750000,1571198639,2526673309822174
8760000,1571335388,2450259421281984
8770000,1571470816,2517202116632606
8780000,1571606973,2500772359968625
8790000,1571743121,2453464073577804
8800000,1571879059,2452976760021532
8810000,1572017912,2452710349209444
